,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
8046,N.00585,aanwinst,"Gedenkpenning voor de toneelwedstrijd ter gelegenheid van de 300ste verjaring van de geboorte van P.P. Rubens, 1877","Op de voorzijde staat de buste driekwart naar links van Rubens met grote hoed met rondom bovenaan, P.P. RUBENS en onderaan, 1577 – 1877 ; op de afsnede van de mouw, BAETES en rondom een verhoogde rand.
Op de bovenste helft van de keerzijde staat het Antwerpse wapen met er rond, FETES DE  P.P. RUBENS en onder het wapen, CONCOURS DES / 19   20  AOUT / 1877 ; rondom langs de verhoogde rand, bovenaan, ? VILLE D’ ANVERS ? en onderaan, CERCLE ALBERT GRISAR

Van 18 tot 20 augustus 1877 hadden te Antwerpen grote feesten plaats voor het derde eeuwfeest van Rubens’ geboorte. Naast een volkskermis stonden op het programma : een letterkundig- en kunstcongres, een cantate, de inhuldiging van een borstbeeld, een historische stoet, een tentoonstelling van Rubensgrafiek, de inhuldiging van het Museum Plantin-Moretus en een wedstrijd voor kunstgeschiedenis. Voorzien was ook een Te Deum in de kathedraal en een bezoek aan het graf van Rubens.
De stad was versierd met tal van praalbogen, op de Meir, het Walburgisplein (verdwenen), Gemeenteplaats (nu Franklin Rooseveltplaats) en de Paardenmarkt. Men schatte het aantal buitenlandse bezoekers op 22.000.
Alle deelnemers ontvingen deze gedenkpenning en de laureaten kregen een mooie prijspenning (N.564).",STAM (Gent),"Baetes, Jules",ontwerper,Gent,19de eeuw,1877,1877,tin,,geslagen,geheel,,mm,,,diameter,,21,,aanwinst
8107,N.00581,aanwinst,"Prijspenning 2de prijs De Zuidster uit Antwerpen, 1895","Het gekroonde Antwerpse wapenschild staat op de voorzijde bovenop een opkrullend veld en twee lauriertakken met rondom bovenaan, VILLE D’ ANVERS en onderaan langs de verhoogde rand, BAETES
Op de keerzijde staat op de onderste helft een lauriertak (links) en een eikentak (rechts), beide onderaan samengebonden en met erboven ingegraveerd, rondom, DE ZUIDSTER , in het veld, 2e PRIJS / 1895 / -- en met rondom een verhoogde rand.",STAM (Gent),"Baetes, Jules",ontwerper,Gent,19de eeuw,1895,1895,zilver,,geslagen,,,mm,,,diameter,,29,,aanwinst
8407,N.02050.1-4,aanwinst,"Gedenkpenning inhuldiging monument Willems, 1899","Vz.De kop van Willems staat naar links met rondom bovenaan, JAN – FRANS WILLEMS GEB. 1798, OVERL. 1846. en onder de schouder, LEMAIRE GENT en met rondom een geprofileerde rand.Kz.Binnen een verhoogde cirkel, WILLEMS’ GEDENKTEKEN / PLECHTIG ONTHULD / DEN / 27 AUGUSTUS / 1899 / tussen twee maal drie bloemetjes, GENT (de eerste en de laatste zin volgen de cirkel en de tweede zin is gebogen) ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,brons,,,,,mm,,,diameter,,50.6,,aanwinst
8495,N.01075,bruikleen,"Erepenning van het stadsbestuur aan de Sint-Sebastiaansgilde, 1814","De penning bestaat uit een effen rond plaatje, als volgt ingegraveerd :
Op de voorzijde staat het Gentse wapenschild dat omgeven is door een open krans van twee lauriertakken en onderaan gestrikt en met rondom bovenaan, PRO PUBL. TRANQUILL. FORTITER ASSERTA
De keerzijde toont het wapenschild van de Sint-Sebastiaansgilde bestaande uit een Jeruzalemkruis in het midden met daar rond, in kwartieren verdeeld, vier kleinere Jeruzalemkruisjes en met rondom een gesloten laurierkrans, onderaan gestrikt, dit alles geplaatst bovenop een gekruiste boog en pijl en vier vlaggen en met boven de lauwerkrans een stok met bovenop een vogel en rondom bovenaan, GANDA MEMOR en onderaan horizontaal, MDCCCXIV
Het ingegraveerde plaatje is gevat in een volle ring, versierd met een parelcirkel en een concave boord.

In de gemeenteraadszitting van 25 juli 1814 werd beslist om de vier hoofdgilden (Sint-Joris, Sint-Sebastiaan, Sint-Antonius en Sint-Michiel), de rederijkerskamer De Fonteine n Sint-Cecilia  te belonen voor hun bijdrage in het bewaren van de rust en orde in de stad na het vertrek van de Fransen. Op 1 augustus 1814 werd hen door de stad Gent een beloning toegekend, met name een zilveren medaille. Deze medaille werd door de eerste magistraat van het departement opgehangen aan de vlag van elke maatschappij. Door een openbare aanplakbrief werden de inwoners van Gent hiervan op de hoogte gebracht waarbij tevens gesteld werd dat de gilden deze medaille, bevestigd aan hun vlag, bij iedere uitgang mochten meedragen.
De Gentse graveur P.J.J. Tiberghien werd reeds voordien aangesproken en deze ontwierp, naast het Gentse wapenschild op de voorzijde, een verschillende keerzijde voor elke gilde met hun eigen wapenschild. De ontwerpen hiervoor bevinden zich in de Gentse Universiteitsbibliotheek. Door zijn overlijden in 1810 zal de gravure ervan uitgevoerd zijn door zijn leerling en opvolger Liévin De Bast.
De Sint-Michielsgilde is nog in het bezit van haar exemplaar. De stukken van de drie andere schuttersgilden werden in bruikleen gegeven aan het Gentse Stadsmuseum.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1814,1814,zilver,,gegraveerd,,,mm,,,diameter,,66.9,1922,bruikleen
8504,N.01027,aanwinst,"Gedenkpenning opening kanaal Gent-Terneuzen, 1827","Op de voorzijde staan vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) en met in de afsnede, een ster en bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.
OP de keerzijde staat, KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ---  ; deze tekst is omgeven door een krans van twee lauriertakken en onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet en met rondom, een parelcirkel en een effen boord.

In het midden van de 16de eeuw hadden de Gentenaars de Sassevaart gegraven, die hun stad via Sas van Gent verbond met de Schelde. Deze waterweg was op het einde van het Ancien Régime echter totaal verzand en onbruikbaar geworden. De regering besloot in 1822 om ze – als afwateringskanaal voor de omliggende polders – te herstellen en door te trekken tot in Terneuzen. In 1823 besloot Willem I om de Sassevaart bovendien te laten verbreden en verdiepen, teneinde dit kanaal tot in Gent voor de scheepvaart toegankelijk te maken.
Na vele problemen van aanbesteding en financiering kon op 1 mei 1825 met de werken worden gestart, en ondanks talrijke moeilijkheden werd het kanaal in relatief korte tijd voor de scheepvaart opengesteld. De inhuldiging vond met grote luister plaats op 18 november 1827. Voor deze gelegenheid werden zowel grote medailles (N.749 en N.912) als deze kleine strooipenningen in goud, zilver en brons uitgegeven.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,koper,,geslagen,,,mm,,,diameter,,21.8,,aanwinst
8506,N.01016,aanwinst,"Gedenkpenning opening kanaal Gent-Terneuzen, 1827","Op de voorzijde staan vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) en met in de afsnede, een ster en bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.
OP de keerzijde staat, KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ---  ; deze tekst is omgeven door een krans van twee lauriertakken en onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet en met rondom, een parelcirkel en een effen boord.

In het midden van de 16de eeuw hadden de Gentenaars de Sassevaart gegraven, die hun stad via Sas van Gent verbond met de Schelde. Deze waterweg was op het einde van het Ancien Régime echter totaal verzand en onbruikbaar geworden. De regering besloot in 1822 om ze – als afwateringskanaal voor de omliggende polders – te herstellen en door te trekken tot in Terneuzen. In 1823 besloot Willem I om de Sassevaart bovendien te laten verbreden en verdiepen, teneinde dit kanaal tot in Gent voor de scheepvaart toegankelijk te maken.
Na vele problemen van aanbesteding en financiering kon op 1 mei 1825 met de werken worden gestart, en ondanks talrijke moeilijkheden werd het kanaal in relatief korte tijd voor de scheepvaart opengesteld. De inhuldiging vond met grote luister plaats op 18 november 1827. Voor deze gelegenheid werden zowel grote medailles (N.749 en N.912) als deze kleine strooipenningen in goud, zilver en brons uitgegeven.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,koper,,geslagen,,,mm,,,diameter,,21.8,,aanwinst
8552,N.01066,aanwinst,"Gedenkpenning opening kanaal Gent-Terneuzen, 1827","Op de voorzijde staan vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) en met in de afsnede, een ster en bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.
OP de keerzijde staat, KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ---  ; deze tekst is omgeven door een krans van twee lauriertakken en onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet en met rondom, een parelcirkel en een effen boord.

In het midden van de 16de eeuw hadden de Gentenaars de Sassevaart gegraven, die hun stad via Sas van Gent verbond met de Schelde. Deze waterweg was op het einde van het Ancien Régime echter totaal verzand en onbruikbaar geworden. De regering besloot in 1822 om ze – als afwateringskanaal voor de omliggende polders – te herstellen en door te trekken tot in Terneuzen. In 1823 besloot Willem I om de Sassevaart bovendien te laten verbreden en verdiepen, teneinde dit kanaal tot in Gent voor de scheepvaart toegankelijk te maken.
Na vele problemen van aanbesteding en financiering kon op 1 mei 1825 met de werken worden gestart, en ondanks talrijke moeilijkheden werd het kanaal in relatief korte tijd voor de scheepvaart opengesteld. De inhuldiging vond met grote luister plaats op 18 november 1827. Voor deze gelegenheid werden zowel grote medailles (N.749 en N.912) als deze kleine strooipenningen in goud, zilver en brons uitgegeven.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,koper,,geslagen,,,mm,,,diameter,,21.8,,aanwinst
8554,N.01017,aanwinst,"Gedenkpenning opening kanaal Gent-Terneuzen, 1827","Op de voorzijde staan vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) en met in de afsnede, een ster en bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.
OP de keerzijde staat, KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ---  ; deze tekst is omgeven door een krans van twee lauriertakken en onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet en met rondom, een parelcirkel en een effen boord.

In het midden van de 16de eeuw hadden de Gentenaars de Sassevaart gegraven, die hun stad via Sas van Gent verbond met de Schelde. Deze waterweg was op het einde van het Ancien Régime echter totaal verzand en onbruikbaar geworden. De regering besloot in 1822 om ze – als afwateringskanaal voor de omliggende polders – te herstellen en door te trekken tot in Terneuzen. In 1823 besloot Willem I om de Sassevaart bovendien te laten verbreden en verdiepen, teneinde dit kanaal tot in Gent voor de scheepvaart toegankelijk te maken.
Na vele problemen van aanbesteding en financiering kon op 1 mei 1825 met de werken worden gestart, en ondanks talrijke moeilijkheden werd het kanaal in relatief korte tijd voor de scheepvaart opengesteld. De inhuldiging vond met grote luister plaats op 18 november 1827. Voor deze gelegenheid werden zowel grote medailles (N.749 en N.912) als deze kleine strooipenningen in goud, zilver en brons uitgegeven.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,koper,,geslagen,,,mm,,,diameter,,21.8,,aanwinst
8577,N.01102,bruikleen,"Gedenkpenning voor de viering te Gent van het huwelijk van Napoleon I met Marie-Louise, 1810","De penning bestaat ui een effen rond plaatje dat als volgt is ingegraveerd :
Op de voorzijde hangen twee ovalen wapenschilden, het linkse met de letter N en het rechtse met ML, , bovenaan verbonden met een touw, aan een horizontale baar met erboven een bloemenkrans en ernaast links een eikentak en rechts een lauriertak, beide onderaan samengestrikt en met rondom bovenaan, NULLA DIES PACEM HANC NEC FŒDERA RUMPET. en onderaan horizontaal, MENS APRIL / MDCCCX
De keerzijde heeft de tekst, NEAPOLEONIS / GALL . IMP. AUG . P .P / ET . M . LUDOVICAE . AUSTR / FELICES . NUPTIAS / LUDIS . CELEBRAT . PUBL / URBS . GANDA
Het gegraveerde plaatje is gevat in een volle ring, versierd met een parelcirkel en een concave boord met lus en draagring.
Bovenaan op het lusje is een goudmerkteken en rondom op de rand is ingegraveerd, SODALIB . SUB . PATROC . D . GEORGI

Door het kinderloos blijven van het huwelijk van Napoleon met Joséphine de Beauharnais werd hun scheiding uitgesproken door de Franse senaat op 15 december 1809.
Napoleon was op zoek naar een vrouw van koninklijken bloede en koos Marie-Louise, de dochter van de Oostenrijkse keizer, als nieuwe echtgenote. Het huwelijk vond plaats op 11 maart 1810 en had tot doel Napoleon een Koninklijke allure te geven en het voortbestaan van de dynastie te verzekeren.
Van 22 tot 24 april hadden ook te Gent grote feesten plaats ter gelegenheid van dit huwelijk. Op 17 en 18 mei zou de plechtige intocht te Gent van de keizer en de keizerin plaatsvinden. Hiervoor werd een reusachtige triomfboog op de Korenmarkt opgesteld. Hij werd ontworpen door de tekenaar-graveur P.J. Tiberghien die ook deze medaille graveerde.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1810,1810,goud,,gegraveerd,,,mm,,,diameter,,43.5,1886,bruikleen
8690,01009,bruikleen,Medaillon met bloemenvaas,Medaillon met bloemenvaas op sokkel; op de achtergrond een bergachtig landschap en vermoedelijk de stad Rome. Meesterstuk van de Gentse zilversmid Pierre Joseph Jacques Tiberghien. Het object was tentoongesteld op de tentoonstelling van de Chambre Syndicale in 1877 in de Aula van de Universiteit.,STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1787,1787,zilver,geheel,gedreven,,,cm,,,hoogte,,18.2,1953,bruikleen
8730,N.00129,aanwinst,"Prijspenning voor de schermwedstrijden ter gelegenheid van de kroning tot Keizer van Napoleon Bonaparte, Gent, 1804","Effen plaatje, gevat in een geprofileerde ring met draagoog, als volgt ingegaveerd :
Een sabel en een degen gekruist met errond een gesloten, onderaan gestrikte, lauwerkrans ; rondom bovenaan, LA VILLE DE GAND À J.C.G. BYGODT. ; onderaan op de afsnede gescheiden van de afbeelding door drie horizontale lijnen, XI. FRIM: AN. XIIII.
Op de keerzijde de tekst, COURONNEMENT / DE NAPOLEON I. / EMPR. DES FRANÇAIS / I======I / JEUX PUBLICS / CELEBRES / À GAND.

Op 2 en 3 december 1804 hadden te Gent, zoals in alle andere steden, grote feestelijkheden plaats om de kroning van Napoleon tot keizer te vieren. Zowel de vier hoofdgilden als de rethorica-maatschappij “De Fonteyne” stapten op in de stoet en organiseerden wedstrijden. De prijspenningen voor de laureaten van deze wedstrijden werden door Tiberghien gegraveerd. De ontwerpen ervan bevinden zich in de bibliotheek van de Gentse Universiteit in een album samengesteld door zijn leerling en vriend, Liévin De Bast.
De schermwedstrijden hadden plaats op maandag 3 december in grote zaal van het Gentse Stadhuis en gilde leden streden er voor de stadsmedaille. Deze werd gewonnen door J.C.G. Bygodt.
Ook de medailles voor het boogschieten door de Gilde van St-Sebastiaan en deze voor de wedstrijden van Sint-Antonius zijn bewaard gebleven.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1804,1804,zilver,,gegraveerd,,,mm,,,diameter,,57.1,,aanwinst
8767,N.00133,aanwinst,"Draagpenning van de huissier van de vrederechter, (1796)","Op de voorzijde staat ingegraveerd, in het midden een lictorenbundel met de punt op een eiken balk en met rondom bovenaan, ACTION A LA LOI ; rondom een verhoogde boord.
En op de keerzijde HUISSIER / DE JUGE DE / PAIX DU CANTON / DE GAND ; rondom een verhoogde boord.

Na de inname door de Fransen van onze gewesten werden in 1796 te Gent zes gerechtskantons geïnstalleerd. De zetelende vrederechters moesten, in overeenstemming met de principes van de revolutie, bijgestaan worden door gewone burgers. Deze burgers werden om de drie maanden vervangen.
De vrederechters en hun helpers droegen, als teken van hun ambt, draagpenningen. Dit exemplaar was bestemd voor de “huissier” of deurwaarder. Hij was belast met de uitvoering van de vonnissen uitgesproken door de vrederechter, en moest zich daartoe ook kunnen identificeren.
Volgens P. Bordeaux werd deze draagpenning ontworpen door Tiberghien en bevind het ontwerp van de voorzijde zich in de verzameling van zijn werk in de Gentse Universiteitsbibliotheek onder nr. 181.
De lictorenbundel was reeds bij de Romeinen een teken van eenheid, samengebonden staven – samen sterk - , en werd door de Franse republiek als teken van eenheid overgenomen.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw,1796,1796,messing,,gegraveerd,,,mm,,,diameter,,50.5,,aanwinst
8774,N.02041,aanwinst,"Gedenkpenning inhuldiging van het Kanaal Gent-Terneuzen, 1827","Vz.Hoofd van Willem I n.l. met links ervan naast de rand, GVILIELMVS I. en rechts, BELGARVM REX ; onder de hals, BRAEMT. F. Kz.De watergod Neptunus staat, met zijn drietand rechtop in zijn linkerarm, op het voordek van een schip en wijst n.l. ; rechts op de grond ligt een vrouw, Vlaanderen, met een hoorn des overvloed in haar linkerarm ; rondom bovenaan, FLUVIIS. EXUNDANTIBUS. NAVIBUSQUE. NOVA. IN. OCEANUM. VIA. MDCCCXXVII. ; langs de rand naast de vrouw, BRAEMT. F. en onderaan op de afsnede, REGLOPTORDD. FLAND. ORIENT. / ET ZELAND. CUM. SENAT. GAND. / GRATI",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,zilver,,,,,mm,,,diameter,,46,,aanwinst
8796,N.00136,gift (?),"Draagteken huisbewaarder, portier consigne Gand","Op de voorzijde ingegraveerd, centraal een degen en een sleutel gekruist en langs de rand, links, PORTIER ; rechts, CONSIGNE ; onderaan, GAND. ; bovenaan een versiering en rondom een verhoogde boord. De keerzijde is effen.

Deze, niet gedateerde, draagpenning voor portiers en huisbewaarders wordt weergegeven in het album met ontwerpen van Tiberghien in de Gentse Universiteitsbibliotheek. Daarom moet ze zeker vóór 1810 ontworpen zijn (overlijden van Tiberghien). Volgens P. Claeys werd de penning gebruikt tijdens de Franse periode van 1804 tot 1814 voor de portiers en huisbewaarders van zowel openbare als privé gebouwen.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,,,,messing,,gegraveerd,,,mm,,,diameter,,54.1,1899,gift (?)
8822,N.01950,aanwinst,"Gedenkpenning etalagewedstrijd te Gent, 1896","Vz.Op een opkrullend veld staat het gekroonde Gentse wapenschild omgeven door een eikentak (links) en een lauriertak (rechts) die beide onderaan samengebonden zijn en met eronder, LEMAIRE en rondom een geprofileerde rand.Kz.Binnen een open krans van ineengestrengelde laurier- en eikentakken met onderaan een strik, staat in een cirkel, GAND-ATTRACTIONS / bloem / CONCOURS / D’ETALAGES / bloem / I 8 9 6 (de eerste en de laatste zin volgen de cirkel) en met rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1896,1896,koper,,geslagen,,,mm,,,diameter,,41.6,,aanwinst
8857,N.02043,aanwinst,"Gedenkpenning Koninklijk bezoek te Gent voor het zilveren ambtsjubileum van de koning, 1856","Vz.Zicht op de Gotische vleugel van het Gentse stadhuis ; op de afsnede die bovenaan versierd is met een gotisch motief, HOTEL DE VILLE / DE GAND ; onderaan langs de boord, J. WIENER F. 1851 ; rondom een geprofileerde rand. Kz.Een gesloten krans van twee takken van gemengde eiken- en laurierbladeren, onderaan gestrikt, met in het veld, GAND / XXV / ANNIVERSAIRE / DE L’INAUGURATION / DE / LEOPOLD I / ROI DES BELGES / M D CCC L VI / XXI JUILLET en rondom een geprofileerde rand.",STAM (Gent),"Wiener, Jacques",ontwerper,Gent,19de eeuw,1856,1856,brons,,,,,mm,,,diameter,,50.6,,aanwinst
8943,N.00015.0-5,aanwinst,"Erepenning A. De Bondt eerste prijs van Rome bouwkunde, 1921","Aan de voorzijde bevindt zich de voorstelling van de Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen.

Aan de keerzijde: DE STAD GENT (rondom bovenaan) / AAN / MR ALBERT DE BONDT / EERSTE PRIJS / VAN ROME / BOUWKUNDE / 1921 / bloemetje

Op 30 september 1921 werden twee laureaten van de “Prijs van Rome” gehuldigd. Voor beide laureaten werd een aparte medaille voorzien.

Albert De Bondt werd geboren te Gent op 22 augustus 1888 en ging na zijn lagere school onmiddellijk aan de slag bij de constructiehuizen Carels. Gestimuleerd door zijn twee oudere broers architecten, Ferdinand en Achilles, schreef hij zich in 1906 in aan de Gentse Academie voor de cursus bouwkunde. Nagenoeg gedurende gans zijn opleiding zat hij in de klas van Oscar Van de Voorde bij wie hij na zijn laatste jaar ook stage liep op de bouwwerf van de Wereldtentoonstelling van 1913.
Na de Eerste Wereldoorlog, waarbij hij in Duitsland gevangen zat, nam hij deel aan de wedstrijden voor de Prijs van Rome en won deze in 1921 met een ontwerp voor een Casino, theater en watersportcentrum.
In 1924 werd De Bondt leraar bouwkunde en in 1941 directeur aan de Gentse Academie. Op beschuldiging van collaboratie werd hij in 1946 uit zijn ambt ontzet maar later vrijgesproken. Zijn afzetting als directeur en de inhouding van zijn wedde werd echter nooit ongedaan gemaakt en zijn benarde financiële situatie noopte hem zijn woning, op de hoek van de Krijgslaan en de Vaderlandsstraat, te verkopen.
Ontgoocheld over het verloop van zijn carrière vernietigde hij in 1965 zo goed als al zijn voorontwerpen, originele plannen en tekeningen. De Bondt overleed in 1969.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,20ste eeuw,1921,1921,brons,geheel,geslagen,,,mm,geheel,,diameter,,50.5,,aanwinst
8947,N.02050.4-4,aanwinst,"Gedenkpenning inhuldiging monument Willems, 1899","Vz.De kop van Willems staat naar links met rondom bovenaan, JAN – FRANS WILLEMS GEB. 1798, OVERL. 1846. en onder de schouder, LEMAIRE GENT en met rondom een geprofileerde rand.Kz.Binnen een verhoogde cirkel, WILLEMS’ GEDENKTEKEN / PLECHTIG ONTHULD / DEN / 27 AUGUSTUS / 1899 / tussen twee maal drie bloemetjes, GENT (de eerste en de laatste zin volgen de cirkel en de tweede zin is gebogen) ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,brons,,,,,mm,,,hoogte,,66.9,,aanwinst
9047,N.00016.0-5,aanwinst,"Erepenning Julien Van De Veegaete, prijs van Rome, 1921","Aan de voorzijde staat de voorstelling van de Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen.

Aan de keerzijde lezen we : DE STAD GENT (rondom bovenaan) / AAN / MR JULIEN VAN DE VEEGAETE / TWEEDE EERSTE PRIJS / VAN ROME / BEELDHOUWKUNST / 1920 / -- ° --  / TWEEDE PRIJS VAN ROME / SCHILDERKUNST / 1920 / bloemetje	.

Julien Van De Veegaete werd geboren te Gent in 1886 en studeerde aan de Gentse Academie bij F. Willaert, J. Van Biesbroeck en J. Delvin. Hij was zowel schilder, tekenaar, xylograaf, lithograaf, miniaturist als beeldhouwer.
In 1920 kende hij enkele officiële successen, hij werd laureaat in zowel de categorie schilder- als beeldhouwkunst van de prestigieuze “Prijs van Rome”, de belangrijkste aanmoedigingsprijs die binnen de muren van de academie tussen jonge kunstenaars werd betwist.  In datzelfde jaar werd hij ook tweede in de driejaarlijkse wedstrijd beeldhouwen, uitgeschreven door de Gentse academie.
Op 30 september 1921 werd hij samen met A. De Bondt gehuldigd als laureaten van deze belangrijke wedstrijd. Voor beide laureaten werd een aparte medaille voorzien.
Van De Veegaete overleed te Gent in 1960. Van 27 februari tot 20 maart 2005 werd in Caritas te Melle een retrospectieve tentoonstelling gehouden van zijn werk en dat van zijn dochter, Marie-José.
Er zijn 5 identieke exemplaren bewaard in de verzamelingen van het STAM.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,20ste eeuw,1920,1920,brons,geheel,geslagen,,,mm,geheel,,diameter,,50.5,,aanwinst
9287,N.01841,aanwinst,"Prijspenning internationale wedstrijd brandweerpompen, 1899","Op een opkrullend gekroond veld staat de Gentse Leeuw met eronder op een banderol, FIDES ET AMOR en onderaan, langs de geprofileerde rand, LEMAIRE
Op de keerzijde is een open krans van twee ineengestrengelde laurier- en eikentakken, onderaan gestrikt, met binnen een cirkel, FÉDÉRATION / DES / SAPEURS POMPIERS / BELGES / ---- / 9E RÉUNION FÉDÉRALE / ---- / GAND / 8•9•I0•11 JUILLET / 1899 (de eerste ne de laatste regel volgt de cirkel) ; tussen de cirkel en de krans ingegraveerd, bovenaan, DES MANOEUVRES DE POMPES À INCENDIE en onderaan * 2ME PRIX * en met rondom bovenaan langs de geprofileerde rand ingegraveerd, CONCOURS INTERNATIONAL


",STAM (Gent),Lemaire,ontwerper,Gent,19de eeuw,1899,1899,metaal,,geslagen,,,mm,,,diameter,,50.5,,aanwinst
9302,N.01856,gift (?),"Gedenkpenning voor de inhuldiging van een standbeeld voor Leopold I te Antwerpen, 1868","het gelauwerde hoofd van Leopold I met rondom, COMMERCE D’ ANVERS AU FONDATEUR DE LA DYNASTIE BELGE ; onder de hals, BAETES en rondom een verhoogde rand.	 
Op de keerzijde staat  rondom bovenaan, GRANDES FÊTES DU 2 AOUT I868 en in het veld, ORGANISÉES / PAR LA / CHAMBRE DE COMMERCE / A L‘ OCCASION DE L’ INAUGURATION / DE LA STATUE DE S.M. / LEOPOLD I / rondom onderaan, ROI DES BELGES en met rondom een verhoogde rand. 

Het Antwerpse stadsbestuur had geweigerd om het ruiterstandbeeld van Leopold I een plaats te geven binnen haar muren en dit als reactie op een weigering van de koning om Jozef Cornelis van Put als burgemeester te benoemen, dit in het licht van een conflict om de bouw van een fortengordel waar de Antwerpenaren niet wilden van weten.
De Kamer van Koophandel besloot een stuk grond aan te kopen buiten de Leien. Op 2 augustus 1868 werd er het standbeeld van Leopold I, gebeeldhouwd door Geefs, plechtig ingehuldigd. De Kamer van Koophandel liet tevens deze gedenkpenning vervaardigen waar ze  duidelijk als organisator staat vermeld.
Pas in 1872, onder het burgemeesterschap van de liberaal De Wael, zal het standbeeld overgebracht worden naar het Sint-Jorisplein dat kort daarna herdoopt werd tot Leopoldplaats.

",STAM (Gent),"Baetes, Jules",ontwerper,Gent,19de eeuw,1869,1869,tin,,geslagen,,,mm,,,diameter,,28.4,1912-10-21,gift (?)
